catalog_id,sdss_name,plate,mjd,fiberID,ra_deg,dec_deg,redshift,redshift_err,mag_u,mag_g,mag_r,mag_i,mag_z,magErr_u,magErr_g,magErr_r,magErr_i,magErr_z,petroMag_r,petroR50_arcsec,petroR90_arcsec,extinction_r_mag,velocity_dispersion_kms,velDisp_err_kms,Halpha_flux_1e-17,Hbeta_flux_1e-17,OIII5007_flux_1e-17,NII6584_flux_1e-17,D4000,BPT_class,log_stellar_mass_Msun,sdss_explore_url,sdss_spectrum_fits_url,sdss_image_cutout_url
0,SDSS J155924.96+265456.8,1391,52817,1,239.853984,26.915788,0.123224,0.000045,20.4821,18.5923,17.5189,17.0596,16.6851,0.0896,0.0096,0.0064,0.0062,0.0129,17.5972,1.7157,5.0129,0.1368,152.3842,16.0353,5.0597,1.4063,9.7855,3.5997,2.1820,-1,10.8320,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.85398356391318&dec=26.91578757206053,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=1,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.85398356391318&dec=26.91578757206053&scale=0.2&width=200&height=200
1,SDSS J155955.66+265722.1,1391,52817,3,239.981929,26.956145,0.102967,0.000021,20.3629,18.3559,17.3646,16.9194,16.6341,0.0627,0.0071,0.0051,0.0049,0.0096,17.4156,1.0567,2.1562,0.1193,168.7642,13.0915,115.5481,30.8162,20.9875,73.4908,1.7647,3,10.9651,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.98192932672708&dec=26.956145343947593,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=3,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.98192932672708&dec=26.956145343947593&scale=0.2&width=200&height=200
2,SDSS J155926.52+265234.1,1391,52817,6,239.860489,26.876130,0.084752,0.000020,18.7060,17.1445,16.3519,15.9441,15.6345,0.0464,0.0065,0.0051,0.0052,0.0121,16.7140,3.8549,9.0837,0.1420,87.6139,14.4970,80.0362,22.0197,8.3455,32.3281,1.6093,2,10.8041,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.8604894908953&dec=26.8761295516179,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=6,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.8604894908953&dec=26.8761295516179&scale=0.2&width=200&height=200
3,SDSS J155935.98+270631.4,1391,52817,7,239.899934,27.108713,0.091265,0.000037,20.8966,18.7890,17.7950,17.3504,16.9598,0.1094,0.0094,0.0066,0.0072,0.0165,17.8465,1.2122,3.2232,0.1138,179.0902,14.9949,10.3830,0.5442,-0.6758,5.8558,1.9929,-1,10.4584,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.89993390412317&dec=27.108712590065384,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=7,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.89993390412317&dec=27.108712590065384&scale=0.2&width=200&height=200
4,SDSS J155950.28+265517.4,1391,52817,10,239.959481,26.921509,0.091581,0.000029,19.4495,17.5702,16.6080,16.1548,15.7851,0.0549,0.0064,0.0046,0.0046,0.0089,16.8168,2.4924,7.0137,0.1253,128.2969,9.3412,15.7757,3.7114,6.4535,12.1298,1.9921,-1,10.9039,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.9594814949154&dec=26.921509102256312,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=10,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.9594814949154&dec=26.921509102256312&scale=0.2&width=200&height=200
5,SDSS J155938.53+271016.9,1391,52817,18,239.910535,27.171359,0.091595,0.000033,19.4241,17.3730,16.4809,16.0233,15.7352,0.0844,0.0067,0.0051,0.0057,0.0151,16.7549,3.5689,8.2412,0.1172,113.1216,10.8269,12.1445,1.8823,6.5578,10.8245,1.9979,-1,10.9118,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.9105353257568&dec=27.171359411234366,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=18,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.9105353257568&dec=27.171359411234366&scale=0.2&width=200&height=200
6,SDSS J155941.58+270642.7,1391,52817,20,239.923266,27.111866,0.088763,0.000034,20.0689,18.3636,17.4396,16.9896,16.5927,0.0657,0.0079,0.0059,0.0064,0.0144,17.5117,1.4522,4.5289,0.1136,140.6515,13.0137,39.2673,13.7552,7.2742,17.3323,1.8583,2,10.5558,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.92326597703104&dec=27.111865973037897,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=20,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.92326597703104&dec=27.111865973037897&scale=0.2&width=200&height=200
7,SDSS J155852.01+265254.3,1391,52817,42,239.716716,26.881747,0.093390,0.000033,19.6540,18.2694,17.5950,17.2348,17.0182,0.0845,0.0118,0.0099,0.0111,0.0324,17.6633,3.3271,6.5746,0.1427,60.7675,33.7497,30.4075,7.5591,1.1510,14.0312,1.4796,2,10.1807,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.71671618798553&dec=26.88174732010674,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=42,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.71671618798553&dec=26.88174732010674&scale=0.2&width=200&height=200
8,SDSS J155902.63+265033.4,1391,52817,43,239.760965,26.842620,0.090412,0.000041,21.0628,18.7794,17.7574,17.3011,16.8975,0.1223,0.0095,0.0066,0.0067,0.0138,17.7831,1.2514,3.6815,0.1450,169.2600,17.4502,3.9138,0.3097,75.2800,4.5583,2.1741,-1,10.4638,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.7609649473457&dec=26.842620405974905,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=43,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.7609649473457&dec=26.842620405974905&scale=0.2&width=200&height=200
9,SDSS J155920.15+265345.0,1391,52817,44,239.833970,26.895841,0.086583,0.000028,19.0393,17.2857,16.2904,15.8142,15.4277,0.0418,0.0057,0.0041,0.0039,0.0075,16.5212,2.7676,7.3009,0.1404,147.1100,12.0404,58.4990,14.7043,11.4592,36.0851,1.9135,5,11.0426,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.8339700228127&dec=26.89584137092356,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=44,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.8339700228127&dec=26.89584137092356&scale=0.2&width=200&height=200
10,SDSS J155843.07+265906.7,1391,52817,46,239.679452,26.985204,0.090553,0.000036,20.1848,18.2298,17.2292,16.7941,16.4045,0.0686,0.0078,0.0055,0.0054,0.0108,17.3494,1.6319,4.6847,0.1411,140.3352,13.0138,4.2200,1.9078,20.2246,-3.3797,2.1734,-1,10.6607,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.67945198761282&dec=26.985203927431275,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=46,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.67945198761282&dec=26.985203927431275&scale=0.2&width=200&height=200
11,SDSS J155921.41+271147.5,1391,52817,47,239.839223,27.196538,0.091500,0.000023,19.4618,17.4923,16.5013,16.0312,15.6704,0.0532,0.0056,0.0041,0.0043,0.0094,16.6008,2.1730,6.7161,0.1148,180.8302,8.8223,20.4670,16.0837,13.3608,17.4373,2.2715,-1,11.0320,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.83922287367272&dec=27.196537762343596,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=47,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.83922287367272&dec=27.196537762343596&scale=0.2&width=200&height=200
12,SDSS J155842.82+270735.8,1391,52817,48,239.678412,27.126618,0.086420,0.000006,18.4821,17.4241,17.0011,16.6192,16.4002,0.0208,0.0052,0.0051,0.0052,0.0117,16.9915,2.3436,5.5000,0.1276,103.2150,15.3423,443.2422,95.0766,31.3667,158.2027,1.4307,1,10.3234,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.67841175885644&dec=27.12661803008071,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=48,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.67841175885644&dec=27.12661803008071&scale=0.2&width=200&height=200
13,SDSS J155912.43+270559.0,1391,52817,52,239.801773,27.099718,0.086508,0.000026,18.7223,16.9225,15.9426,15.4905,15.1013,0.0418,0.0048,0.0036,0.0039,0.0084,16.0516,3.8652,11.2315,0.1166,200.7315,10.8270,51.7454,16.2614,12.7732,35.8552,2.0725,5,11.1454,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.80177267542211&dec=27.099718077905507,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=52,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.80177267542211&dec=27.099718077905507&scale=0.2&width=200&height=200
14,SDSS J155846.40+271247.2,1391,52817,54,239.693334,27.213108,0.087609,0.000033,19.9655,18.0332,17.0435,16.5588,16.1888,0.0563,0.0064,0.0047,0.0049,0.0101,17.1063,1.3768,3.7259,0.1221,292.0667,15.1814,26.9321,11.4280,11.5399,7.4836,2.0773,-1,10.7697,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.69333384942243&dec=27.21310781326129,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=54,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.69333384942243&dec=27.21310781326129&scale=0.2&width=200&height=200
15,SDSS J155900.63+270542.3,1391,52817,55,239.752627,27.095086,0.089536,0.000036,20.4754,18.5392,17.4759,17.0076,16.5912,0.0893,0.0095,0.0063,0.0061,0.0126,17.5952,1.6416,4.3134,0.1222,151.2575,14.2643,15.9088,1.4217,0.6713,12.2453,1.8377,-1,10.6491,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.75262736489805&dec=27.09508587203227,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=55,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.75262736489805&dec=27.09508587203227&scale=0.2&width=200&height=200
16,SDSS J155857.87+265338.8,1391,52817,56,239.741105,26.894115,0.085480,0.000029,20.1065,18.0919,17.0739,16.6175,16.2198,0.0680,0.0074,0.0051,0.0050,0.0098,17.2243,1.7035,4.6051,0.1421,149.7133,9.8041,8.7542,3.8776,1.1488,1.4180,2.2672,-1,10.7268,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.74110534251088&dec=26.894114943632122,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=56,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.74110534251088&dec=26.894114943632122&scale=0.2&width=200&height=200
17,SDSS J155909.13+271123.2,1391,52817,57,239.788036,27.189789,0.173987,0.000074,20.4551,18.3095,17.1538,16.6461,16.3193,0.2071,0.0131,0.0081,0.0090,0.0249,17.5005,3.2498,8.6975,0.1153,208.4257,21.9585,7.6623,0.3340,-0.3952,4.6098,2.1164,-1,11.3018,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.7880363131481&dec=27.18978852000483,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=57,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.7880363131481&dec=27.18978852000483&scale=0.2&width=200&height=200
18,SDSS J155840.17+270339.0,1391,52817,58,239.667358,27.060831,0.229106,0.000056,21.9630,19.2556,17.8212,17.2702,16.8702,0.2933,0.0150,0.0075,0.0071,0.0150,17.8108,1.7746,5.7268,0.1327,219.9963,18.6729,19.5745,6.2576,17.3043,0.2770,1.9964,-1,11.4112,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.6673584296788&dec=27.060830818783103,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=58,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.6673584296788&dec=27.060830818783103&scale=0.2&width=200&height=200
19,SDSS J155909.46+265509.9,1391,52817,59,239.789404,26.919417,0.087144,0.000025,19.2078,17.1763,16.1427,15.6664,15.2755,0.0391,0.0048,0.0035,0.0034,0.0060,16.2498,2.1836,6.8859,0.1380,250.9768,10.1444,37.4730,11.9004,0.6091,6.1678,2.2071,2,11.1447,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.78940380189056&dec=26.919417090122433,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=59,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.78940380189056&dec=26.919417090122433&scale=0.2&width=200&height=200
20,SDSS J155845.32+271152.1,1391,52817,60,239.688830,27.197811,0.087219,0.000023,18.6048,16.6590,15.6734,15.1979,14.8254,0.0363,0.0041,0.0031,0.0033,0.0066,15.7854,3.4334,10.6014,0.1233,271.7658,10.7322,43.7649,23.2357,22.9909,8.3770,2.0781,-1,11.2744,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.68882969638815&dec=27.197811187958884,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=60,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.68882969638815&dec=27.197811187958884&scale=0.2&width=200&height=200
21,SDSS J155849.68+272639.4,1391,52817,61,239.706982,27.444280,0.084870,0.000007,18.1144,16.9887,16.5234,16.1628,15.9804,0.0195,0.0044,0.0046,0.0043,0.0130,16.5240,2.8130,6.3676,0.1144,95.4149,14.0466,585.7808,135.4490,25.3598,184.8874,1.3039,1,10.3570,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.7069819109078&dec=27.44428000081869,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=61,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.7069819109078&dec=27.44428000081869&scale=0.2&width=200&height=200
22,SDSS J155914.68+271723.9,1391,52817,63,239.811150,27.289974,0.091912,0.000020,18.8337,16.9132,15.9788,15.5545,15.2009,0.0310,0.0044,0.0034,0.0033,0.0059,16.1154,2.1081,6.8016,0.1153,201.2213,7.5129,3.9456,6.3193,15.7263,14.5202,1.9051,-1,11.1002,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.81114979472235&dec=27.28997446482607,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=63,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.81114979472235&dec=27.28997446482607&scale=0.2&width=200&height=200
23,SDSS J155849.11+271952.5,1391,52817,64,239.704634,27.331259,0.089044,0.000038,20.4459,18.6739,17.7226,17.3006,16.9536,0.0837,0.0104,0.0072,0.0072,0.0158,17.8296,1.5290,4.4010,0.1171,96.8260,11.6405,3.4862,-0.7368,2.5386,-3.7503,2.0703,-1,10.3860,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.7046341731124&dec=27.331259132407038,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=64,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.7046341731124&dec=27.331259132407038&scale=0.2&width=200&height=200
24,SDSS J155904.42+271606.7,1391,52817,65,239.768419,27.268538,0.091005,0.000025,18.9916,17.1294,16.1708,15.7141,15.3596,0.0437,0.0049,0.0037,0.0040,0.0086,16.2374,2.9860,9.3781,0.1140,193.4167,10.2554,20.9839,10.2324,3.4625,15.7026,2.0942,-1,11.0898,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.7684185452617&dec=27.268538181231534,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=65,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.7684185452617&dec=27.268538181231534&scale=0.2&width=200&height=200
25,SDSS J155938.12+271536.8,1391,52817,66,239.908839,27.260219,0.087066,0.000036,20.3877,18.4653,17.4711,17.0200,16.6178,0.0806,0.0091,0.0062,0.0061,0.0124,17.5171,1.6003,4.5880,0.1199,152.0801,13.1796,6.5240,-2.8170,9.0233,9.8349,2.1059,-1,10.5536,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.90883861914097&dec=27.260218809648613,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=66,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.90883861914097&dec=27.260218809648613&scale=0.2&width=200&height=200
26,SDSS J155855.72+271640.2,1391,52817,67,239.732164,27.277845,0.093801,0.000023,19.5763,17.6040,16.5690,16.1216,15.7739,0.0604,0.0067,0.0046,0.0045,0.0092,16.6951,2.6112,7.5260,0.1166,142.6441,8.7500,-13.3432,9.2858,9.4313,26.0442,2.2264,-1,10.9921,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.7321639271742&dec=27.27784488001117,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=67,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.7321639271742&dec=27.27784488001117&scale=0.2&width=200&height=200
27,SDSS J155856.42+273343.2,1391,52817,68,239.735079,27.561990,0.090089,0.000030,20.0963,18.0716,17.1209,16.6686,16.3372,0.0593,0.0069,0.0050,0.0048,0.0105,17.1951,1.4886,4.5633,0.1200,168.0663,11.1888,23.0138,9.1288,25.0678,11.6560,2.0754,2,10.6715,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.73507939784298&dec=27.561989770935266,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=68,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.73507939784298&dec=27.561989770935266&scale=0.2&width=200&height=200
28,SDSS J155859.00+271921.7,1391,52817,69,239.745814,27.322684,0.081618,0.000034,19.9318,18.0595,17.1367,16.7158,16.3918,0.0733,0.0085,0.0060,0.0060,0.0134,17.3069,2.1370,6.0232,0.1156,138.3660,13.1159,3.4093,1.7376,0.1576,1.0793,1.8659,-1,10.5028,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.74581443358232&dec=27.322683944448197,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=69,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.74581443358232&dec=27.322683944448197&scale=0.2&width=200&height=200
29,SDSS J155902.59+273538.9,1391,52817,70,239.760788,27.594134,0.096216,0.000020,19.9752,18.3077,17.5111,17.0610,16.7808,0.0614,0.0083,0.0063,0.0062,0.0163,17.5182,2.2267,5.3592,0.1271,84.5313,13.4809,87.5686,18.1088,6.8275,32.8021,1.6712,2,10.4370,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.76078779346318&dec=27.59413441532024,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=70,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.76078779346318&dec=27.59413441532024&scale=0.2&width=200&height=200
30,SDSS J155904.59+273813.2,1391,52817,72,239.769132,27.636998,0.114924,0.000028,20.1470,18.6690,17.8659,17.4826,17.1729,0.0627,0.0097,0.0074,0.0076,0.0201,17.7994,1.7726,4.2929,0.1366,101.4375,18.2726,93.2110,21.2892,16.7211,44.2170,1.4389,2,10.3975,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.7691315869389&dec=27.63699762982205,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=72,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.7691315869389&dec=27.63699762982205&scale=0.2&width=200&height=200
31,SDSS J155957.40+272746.1,1391,52817,75,239.989159,27.462814,0.094655,0.000016,19.3225,17.4693,16.5009,16.0129,15.6388,0.0503,0.0062,0.0045,0.0043,0.0096,16.6734,3.0798,8.4505,0.1095,163.9978,13.2812,171.6408,32.1575,290.7822,62.2679,1.9700,4,11.0251,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.9891585781172&dec=27.462813781837863,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=75,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.9891585781172&dec=27.462813781837863&scale=0.2&width=200&height=200
32,SDSS J155856.60+273039.2,1391,52817,76,239.735833,27.510896,0.090440,0.000021,18.6575,16.5194,15.5426,15.0804,14.7091,0.0366,0.0041,0.0031,0.0030,0.0060,15.7470,3.8187,9.4926,0.1128,191.1120,8.1866,40.3597,8.4884,27.9186,55.4826,2.1737,5,11.3963,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.73583268979064&dec=27.51089560081163,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=76,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.73583268979064&dec=27.51089560081163&scale=0.2&width=200&height=200
33,SDSS J155918.82+272855.2,1391,52817,77,239.828437,27.482003,0.093704,0.000010,19.1440,17.9904,17.5212,17.2001,17.0286,0.0463,0.0099,0.0100,0.0094,0.0305,17.5879,3.3149,6.5474,0.1120,105.7895,35.6393,114.6579,24.6813,6.7681,35.8185,1.3519,2,9.9952,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.82843736575586&dec=27.48200341168774,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=77,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.82843736575586&dec=27.48200341168774&scale=0.2&width=200&height=200
34,SDSS J155911.34+273437.6,1391,52817,78,239.797239,27.577108,0.096523,0.000009,20.0456,18.5984,17.7613,17.3104,17.1503,0.0590,0.0094,0.0069,0.0068,0.0197,17.7124,1.8342,4.3415,0.1219,82.4958,14.8355,211.1689,45.2643,4.4419,70.3240,1.6843,2,10.4122,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.7972386915904&dec=27.57710809866547,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=78,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.7972386915904&dec=27.57710809866547&scale=0.2&width=200&height=200
35,SDSS J155926.84+272947.5,1391,52817,80,239.861842,27.496526,0.153676,0.000038,20.1599,18.0932,17.0684,16.5718,16.2312,0.1186,0.0105,0.0068,0.0067,0.0171,17.3412,3.4166,9.4855,0.1113,175.7798,24.2640,48.1057,5.2805,2.5851,24.9061,1.7504,2,11.1619,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.8618418946288&dec=27.49652615421344,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=80,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.8618418946288&dec=27.49652615421344&scale=0.2&width=200&height=200
36,SDSS J155837.03+270816.8,1391,52817,82,239.654308,27.137991,0.090353,0.000030,19.3054,17.2345,16.2112,15.7354,15.3515,0.0395,0.0049,0.0036,0.0035,0.0061,16.3261,1.8949,5.6829,0.1266,278.4630,11.5969,20.6680,13.1971,22.1575,13.9296,2.3118,-1,11.1531,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.6543081014538&dec=27.137991388176033,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=82,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.6543081014538&dec=27.137991388176033&scale=0.2&width=200&height=200
37,SDSS J155824.65+271346.3,1391,52817,83,239.602723,27.229520,0.088195,0.000035,19.5164,17.2657,16.1979,15.7517,15.3771,0.0771,0.0067,0.0044,0.0043,0.0089,16.2099,4.7324,14.2765,0.1224,207.9782,12.9331,9.9096,0.4656,1.5044,1.7840,1.8952,-1,11.1370,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.60272281248885&dec=27.229519599318564,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=83,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.60272281248885&dec=27.229519599318564&scale=0.2&width=200&height=200
38,SDSS J155831.27+265735.8,1391,52817,84,239.630312,26.959953,0.088264,0.000056,20.2277,18.4189,17.6237,17.2790,16.9616,0.0726,0.0090,0.0069,0.0073,0.0167,17.6957,1.7703,5.2009,0.1372,91.0862,17.8930,9.0547,-3.9855,-0.6054,6.4819,1.6227,-1,10.2158,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.6303118296293&dec=26.95995260090614,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=84,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.6303118296293&dec=26.95995260090614&scale=0.2&width=200&height=200
39,SDSS J155832.62+270725.0,1391,52817,85,239.635931,27.123619,0.107169,0.000023,18.9111,17.3906,16.5848,16.1576,15.8089,0.0308,0.0051,0.0041,0.0040,0.0082,16.5604,2.4455,5.3352,0.1265,128.9204,10.0226,92.5716,13.7126,10.4538,32.7535,1.7224,2,10.9434,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.63593130336608&dec=27.123619329629847,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=85,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.63593130336608&dec=27.123619329629847&scale=0.2&width=200&height=200
40,SDSS J155825.43+270522.1,1391,52817,86,239.605969,27.089473,0.089495,0.000047,20.7294,18.7193,17.7618,17.3087,16.9370,0.1031,0.0104,0.0071,0.0071,0.0154,17.8619,1.5156,4.3254,0.1263,128.3653,13.9651,0.1281,5.1803,1.3436,-0.5173,1.9635,-1,10.4195,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.60596899212624&dec=27.089472792687822,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1391&mjd=52817&fiberid=86,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.60596899212624&dec=27.089472792687822&scale=0.2&width=200&height=200
