catalog_id,sdss_name,plate,mjd,fiberID,ra_deg,dec_deg,redshift,redshift_err,mag_u,mag_g,mag_r,mag_i,mag_z,magErr_u,magErr_g,magErr_r,magErr_i,magErr_z,petroMag_r,petroR50_arcsec,petroR90_arcsec,extinction_r_mag,velocity_dispersion_kms,velDisp_err_kms,Halpha_flux_1e-17,Hbeta_flux_1e-17,OIII5007_flux_1e-17,NII6584_flux_1e-17,D4000,BPT_class,log_stellar_mass_Msun,sdss_explore_url,sdss_spectrum_fits_url,sdss_image_cutout_url
174,SDSS J155824.51+271125.6,1392,52822,229,239.602105,27.190433,0.091405,0.000026,20.0089,17.9410,16.9271,16.4675,16.0910,0.0528,0.0063,0.0045,0.0044,0.0080,17.0067,1.2656,3.6093,0.1211,243.4845,11.6502,-4.1970,10.7217,4.0781,12.3079,2.2272,-1,10.8256,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.6021045639987&dec=27.190433132042493,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1392&mjd=52822&fiberid=229,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.6021045639987&dec=27.190433132042493&scale=0.2&width=200&height=200
175,SDSS J155820.13+270948.2,1392,52822,230,239.583891,27.163401,0.084374,0.000026,19.7487,17.8489,16.9072,16.4685,16.1453,0.0528,0.0066,0.0048,0.0047,0.0095,17.0519,1.7138,5.0347,0.1193,134.3024,8.8727,1.2022,5.7740,-2.9625,-1.8938,1.9837,-1,10.6628,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.58389050152607&dec=27.163401445415143,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1392&mjd=52822&fiberid=230,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.58389050152607&dec=27.163401445415143&scale=0.2&width=200&height=200
176,SDSS J155822.62+271524.2,1392,52822,231,239.594254,27.256725,0.090296,0.000039,20.7434,18.5977,17.5658,17.1440,16.7432,0.0855,0.0087,0.0060,0.0059,0.0114,17.5778,1.1917,3.5507,0.1232,208.8553,13.5443,7.1832,9.8330,-0.2344,-4.4336,2.0030,-1,10.5627,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.59425368493476&dec=27.25672450457309,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1392&mjd=52822&fiberid=231,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.59425368493476&dec=27.25672450457309&scale=0.2&width=200&height=200
177,SDSS J155817.45+271609.6,1392,52822,233,239.572708,27.269321,0.084852,0.000034,19.7095,17.8620,17.1020,16.7477,16.4603,0.0568,0.0071,0.0058,0.0061,0.0134,17.1564,2.5324,6.6838,0.1221,81.2403,11.3467,53.5457,13.4304,30.2777,31.1646,1.7335,2,10.4094,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.57270846389562&dec=27.269321398243843,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1392&mjd=52822&fiberid=233,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.57270846389562&dec=27.269321398243843&scale=0.2&width=200&height=200
178,SDSS J155825.90+270934.0,1392,52822,234,239.607934,27.159435,0.091796,0.000032,20.3549,18.3435,17.3491,16.8918,16.4815,0.0673,0.0077,0.0054,0.0053,0.0101,17.4146,1.2290,3.5535,0.1221,209.4606,12.8726,4.1161,3.1207,6.2582,1.2216,2.1055,-1,10.6537,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.60793401478793&dec=27.159434529471078,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1392&mjd=52822&fiberid=234,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.60793401478793&dec=27.159434529471078&scale=0.2&width=200&height=200
179,SDSS J155825.91+272005.1,1392,52822,235,239.607940,27.334747,0.090478,0.000030,20.0624,18.0389,17.0471,16.5950,16.2209,0.0595,0.0069,0.0050,0.0049,0.0093,17.1047,1.5222,4.5854,0.1208,185.6284,9.9341,4.7721,5.0831,-11.6256,3.0895,2.1642,-1,10.7503,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.6079402199115&dec=27.33474680251373,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1392&mjd=52822&fiberid=235,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.6079402199115&dec=27.33474680251373&scale=0.2&width=200&height=200
180,SDSS J155813.30+271453.2,1392,52822,236,239.555405,27.248122,0.096505,0.000027,18.1539,15.9936,14.9322,14.4822,14.1689,0.0472,0.0044,0.0030,0.0030,0.0063,15.2223,7.8761,20.7204,0.1208,224.9797,11.4990,16.8712,20.5228,16.1700,-0.3478,2.1287,-1,11.7052,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.55540499547743&dec=27.248122201838974,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1392&mjd=52822&fiberid=236,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.55540499547743&dec=27.248122201838974&scale=0.2&width=200&height=200
181,SDSS J155830.10+270805.6,1392,52822,238,239.625424,27.134899,0.090830,0.000032,20.2518,18.1563,17.1775,16.7370,16.3639,0.0642,0.0071,0.0051,0.0050,0.0097,17.2413,1.3092,4.0710,0.1250,202.2996,12.7202,2.6813,1.2319,11.2572,4.6216,2.0366,-1,10.6897,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.6254235525592&dec=27.13489879954632,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1392&mjd=52822&fiberid=238,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.6254235525592&dec=27.13489879954632&scale=0.2&width=200&height=200
182,SDSS J155824.73+271231.9,1392,52822,239,239.603047,27.208863,0.094324,0.000034,20.7885,18.7658,17.7183,17.2920,16.8761,0.0904,0.0098,0.0065,0.0064,0.0126,17.7303,1.2515,3.5738,0.1216,136.6525,11.4604,4.3045,5.2918,0.7105,1.1839,2.1316,-1,10.5304,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.6030465228385&dec=27.208862666217296,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1392&mjd=52822&fiberid=239,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.6030465228385&dec=27.208862666217296&scale=0.2&width=200&height=200
183,SDSS J155832.09+271051.0,1392,52822,240,239.633710,27.180827,0.084077,0.000024,19.2199,17.0446,16.0637,15.6156,15.1990,0.0397,0.0045,0.0034,0.0034,0.0058,16.1457,2.1789,7.2333,0.1234,258.8607,9.2114,15.1268,22.9253,-1.9601,4.7656,2.1460,-1,11.1639,https://skyserver.sdss.org/dr17/VisualTools/explore/summary?ra=239.63371013822223&dec=27.180827356025784,https://dr17.sdss.org/optical/spectrum/view/data/format=fits?plateid=1392&mjd=52822&fiberid=240,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg?ra=239.63371013822223&dec=27.180827356025784&scale=0.2&width=200&height=200
